City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,kununurra,-15.7667,128.7333,32.99,46,100,2.06,AU,1699234075
291,caransebes,45.4167,22.2167,14.55,84,61,2.01,RO,1699234463
292,al mawsil al jadidah,36.3346,43.0978,18.41,49,0,2.59,IQ,1699234463
293,trairi,-3.2778,-39.2689,26.31,77,9,4.93,BR,1699234194
294,ust-nera,64.5667,143.2,-19.78,99,85,1.26,RU,1699234346
295,isiro,2.7739,27.616,18.54,97,100,0.71,CD,1699234463
296,ola,59.5833,151.2833,-5.78,70,39,4.6,RU,1699234464
297,keminmaa,65.8596,24.8228,2.87,100,100,4.63,FI,1699234464
298,karratha,-20.7377,116.8463,38.53,23,47,2.21,AU,1699234464
299,south hedland,-20.4089,118.5983,38.96,16,45,5.66,AU,1699234464
300,quartu sant'elena,39.2419,9.1839,17.24,68,0,2.06,IT,1699234465
301,hwange,-18.3693,26.5019,26.75,28,100,0.78,ZW,1699234465
302,sao vicente,-23.9631,-46.3919,19.59,26,27,1.38,BR,1699234095
303,kulykivka,51.3735,31.6466,10.24,94,100,5.45,UA,1699234465
304,forster,-32.1667,152.5167,20.21,70,100,2.44,AU,1699234360
305,kuragino,53.8975,92.6725,-6.73,94,100,2.77,RU,1699234466
306,waterloo,43.4668,-80.5164,7.66,82,100,2.06,CA,1699234173
307,usinsk,65.9939,57.5281,-0.52,97,100,8.49,RU,1699234466
308,cockburn town,21.4612,-71.1419,27.89,70,94,5.24,TC,1699234466
309,alofi,-19.0595,-169.9187,26.94,61,38,5.14,NU,1699234141
310,betio village,1.358,172.9211,31.02,74,17,1.17,KI,1699234379
311,miyako,39.6367,141.9525,20.81,75,100,8.08,JP,1699234467
312,yanykurgan,43.915,67.2481,11.55,35,100,3.6,KZ,1699234273
313,thinadhoo,0.5333,72.9333,27.19,77,100,5.56,MV,1699234467
314,belmonte,-15.8631,-38.8828,24.54,94,100,4.26,BR,1699234175
315,mawlamyinegyunn,16.3833,95.2667,27.51,80,23,2.74,MM,1699234468
316,lazaro cardenas,17.9583,-102.2,26.43,85,9,1.05,MX,1699234468
317,bogale,16.2833,95.4,27.51,80,38,2.51,MM,1699234468
318,papao,-17.75,-149.55,26.82,83,48,5.17,PF,1699234094
319,cole harbour,44.6724,-63.4751,5.55,89,17,0.89,CA,1699234469
320,pervomayskiy,53.2485,40.2871,9.53,90,92,6.11,RU,1699234469
321,ambovombe,-25.1667,46.0833,20.98,87,87,3.94,MG,1699234469
322,ancud,-41.8697,-73.8203,10.92,96,100,6.49,CL,1699234354
323,east london,-33.0153,27.9116,18.68,89,86,2.01,ZA,1699234152
324,cidreira,-30.1811,-50.2056,17.5,77,74,4.6,BR,1699234470
325,opuwo,-18.0607,13.84,17.88,30,70,2.36,NA,1699234146
326,ushtobe,45.2514,77.9838,1.87,79,68,6.39,KZ,1699234470
327,atafu village,-8.5421,-172.5159,29.03,71,100,1.6,TK,1699234471
328,gwaram,11.2764,9.8858,23.23,29,17,2.91,NG,1699234471
329,borger,52.9233,6.7931,9.39,91,18,6.79,NL,1699234471
330,flin flon,54.7682,-101.865,-4.4,91,100,4.31,CA,1699234447
331,troitskoye,52.9821,84.6757,-7.15,97,99,3.43,RU,1699234471
332,apia,-13.8333,-171.7667,32.95,83,82,10.29,WS,1699234472
333,porbandar,21.6422,69.6093,26.85,51,6,2.6,IN,1699234270
334,usogorsk,63.4106,48.6872,1.48,96,100,5.02,RU,1699234472
335,bonthe,7.5264,-12.505,25.71,87,8,1.14,SL,1699234099
336,nizhniy odes,63.6445,54.856,0.69,85,100,5.01,RU,1699234473
337,kristiansund,63.1115,7.732,6.36,75,100,0.51,NO,1699234473
338,nuuk,64.1835,-51.7216,0.34,100,100,8.94,GL,1699234336
339,belabo,4.9333,13.3,20.03,97,20,0.78,CM,1699234474
340,lukolela,-1.0605,17.1821,21.65,97,71,1.24,CD,1699234474
341,sassnitz,54.5167,13.65,9.89,92,73,9.09,DE,1699234474
342,murzuq,25.9155,13.9184,21.38,21,0,3.41,LY,1699234474
343,long beach,33.767,-118.1892,25.06,73,0,4.12,US,1699234316
344,keren,15.7778,38.4581,21.16,65,93,0.38,ER,1699234475
345,villablino,42.9393,-6.3194,4.87,94,100,2.86,ES,1699234475
346,cabo san lucas,22.8909,-109.9124,28.2,68,100,2.06,MX,1699234295
347,kaitong,44.8135,123.15,-6.32,91,100,15.08,CN,1699234475
348,cheremukhovo,60.3484,59.9851,-1.69,82,100,2.24,RU,1699234476
349,yuzhno-kurilsk,44.0306,145.8556,8.54,81,100,2.87,RU,1699234476
350,poxoreo,-15.8372,-54.3892,27.73,55,61,1.01,BR,1699234476
351,guarapari,-20.6667,-40.4975,22.72,78,95,5.47,BR,1699234363
352,vilyuysk,63.7553,121.6247,-16.71,86,78,2.22,RU,1699234477
353,katsuura,35.1333,140.3,23.31,71,13,6.79,JP,1699234477
354,quibdo,5.6947,-76.6611,23.5,99,100,0.81,CO,1699234315
355,san patricio,28.017,-97.5169,23.92,68,100,4.3,US,1699234153
356,coquimbo,-29.9533,-71.3436,14.85,88,0,3.6,CL,1699234477
357,wickenburg,33.9686,-112.7296,23.71,17,7,1.14,US,1699234443
358,ilulissat,69.2167,-51.1,-3.99,50,31,9.26,GL,1699234478
